Country	Coefficient of human inequality	Inequality in life expectancy	Inequality in education	Inequality in income
Norway	5.9647166666666700	3	2.3324000000000000	12.56175
Ireland	7.2214233333333300	3.4	3.2860400000000000	14.97823
Switzerland	6.7541900000000000	3.5	1.8287900000000000	14.93378
Iceland	5.6437533333333300	2.4	2.79474	11.736520000000000
Germany	7.9121926193333300	3.8	2.2809578580000000	17.655620000000000
Sweden	6.5245866666666700	2.9	3.68669	12.987070000000000
Australia	7.9000000000000000	3.7	2.7	17.3
Netherlands	6.8954300000000000	3.1	5.3671000000000000	12.219190000000000
Denmark	5.9627200000000000	3.6	2.90482	11.38334
Finland	5.2855633333333300	3	2.2391800000000000	10.617510000000000
United Kingdom	7.9492633333333300	4.1000000000000000	2.7340400000000000	17.013750000000000
Belgium	7.720716666666670	3.6	8.1801300000000000	11.382020000000000
Canada	8.4436666666666700	4.6000000000000000	2.6710000000000000	18.060000000000000
United States	12.065666666666700	6.3	2.7530000000000000	27.144000000000000
Austria	6.9115733333333300	3.7	2.9174500000000000	14.11727
Japan	8.0730000000000000	2.9	4.6560000000000000	16.663
Slovenia	4.5658566666666700	2.9	2.1218400000000000	8.6757300000000000
Korea (Republic of)	10.692	3	8.8360000000000000	20.240000000000000
Luxembourg	9.560533333333330	3.4	6.2906900000000000	18.99091
Spain	13.112013333333300	3	16.86947	19.466570000000000
France	8.9262666666666700	3.8	9.4862300000000000	13.492570000000000
Czechia	4.4240966666666700	3	1.3882400000000000	8.8840500000000000
Malta	7.9330233333333300	4.6000000000000000	6.18818	13.01089
Estonia	6.8880866666666700	3.6	2.28057	14.78369
Italy	11.821633333333300	3.1	10.60056	21.764340000000000
Greece	10.78983	3.5	11.06794	17.801550000000000
Cyprus	9.0983233333333300	3.6	10.47803	13.216940000000000
Lithuania	9.9848533333333300	5.5	3.8809400000000000	20.573620000000000
Poland	7.5714966666666700	4.3	4.93736	13.477130000000000
Latvia	9.1715033333333300	5.4	2.5301100000000000	19.584400000000000
Portugal	11.798026666666700	3.5	14.96519	16.928890000000000
Slovakia	6.0778600000000000	5	1.55613	11.67745
Hungary	7.2588166666666700	4.2	3.11063	14.465820000000000
Chile	15.943666000000000	6.3	10.386000000000000	31.144998000000000
Croatia	7.8821266666666700	4.3	4.6741200000000000	14.67226
Montenegro	9.4463533333333300	3.6	7.81501	16.924050000000000
Romania	11.44628	6.3	5.3321500000000000	22.706690000000000
Russian Federation	10.016	7.1	4.1960000000000000	18.752000000000000
Turkey	16.531690000000000	9	16.5	24.09507
Uruguay	12.594658818333300	7.9	6.5260614550000000	23.357915000000000
Bulgaria	11.331190000000000	6.1	6.0987500000000000	21.794820000000000
Serbia	12.114296666666700	4.9000000000000000	7.4718900000000000	23.971
Mauritius	13.6	9.4	13.2	18.2
Seychelles	15.185493333333300	9.6	6.6564800000000000	29.3
Albania	10.892993333333300	7.2	12.3	13.178980000000000
Iran (Islamic Republic of)	11.300000000000000	9.2000000000000000	5	19.7
Bosnia and Herzegovina	14.200000000000000	5.4	17	20.2
Thailand	16.666666666666700	7.9	18.3	23.8
North Macedonia	11.808476666666700	7.9	8.3681700000000000	19.157260000000000
Colombia	21.607373333333300	10.7	18.595000000000000	35.527120000000000