id	name	hdi	
CHN	China	"0.761"	
IND	India	"0.645"	
USA	United States	"0.926"	
IDN	Indonesia	"0.718"	
BRA	Brazil	"0.765"	
PAK	Pakistan	"0.557"	
BGD	Bangladesh	"0.632"	
NGA	Nigeria	"0.539"	
RUS	Russia	"0.824"	
JPN	Japan	"0.919"	
MEX	Mexico	"0.779"	
PHL	Philippines	"0.718"	
VNM	Vietnam	"0.704"	
ETH	Ethiopia	"0.485"	
DEU	Germany	"0.947"	
EGY	Egypt	"0.707"	
TUR	Turkey	"0.820"	
COD	"Congo, Democratic Republic of the"	"0.574"	
IRN	Iran	"0.783"	
THA	Thailand	"0.777"	
FRA	France	"0.901"	
GBR	United Kingdom	"0.932"	
ITA	Italy	"0.892"	
MMR	Burma	"0.452"	
ZAF	South Africa	"0.709"	
KOR	"Korea, South"	"0.916"	
UKR	Ukraine	"0.779"	
COL	Colombia	"0.707"	
SDN	Sudan	"0.510"	
TZA	Tanzania	"0.529"	
ARG	Argentina	"0.845"	
ESP	Spain	"0.904"	
KEN	Kenya	"0.601"	
POL	Poland	"0.880"	
DZA	Algeria	"0.748"	
CAN	Canada	"0.929"	
UGA	Uganda	"0.544"	
MAR	Morocco	"0.686"	
PER	Peru	"0.777"	
IRQ	Iraq	"0.674"	
SAU	Saudi Arabia	"0.854"	
AFG	Afghanistan	"0.511"	
NPL	Nepal	"0.602"	
UZB	Uzbekistan	"0.720"	
VEN	Venezuela	"0.711"	
MYS	Malaysia	"0.810"	
GHA	Ghana	"0.611"	
YEM	Yemen	"0.470"		
PRK	"Korea, North"	"Null"	
SYR	Syria	"0.567"	
ROU	Romania	"0.828"	
MOZ	Mozambique	"0.456"	
AUS	Australia	"0.944"	
LKA	Sri Lanka	"0.782"	
MDG	Madagascar	"0.528"	
CIV	Cote d'Ivoire	"0.538"	
CMR	Cameroon	"0.563"	
NLD	Netherlands	"0.944"	
CHL	Chile	"0.851"	
BFA	Burkina Faso	"0.452"	
NER	Niger	"0.394"	
KAZ	Kazakhstan	"0.825"	
MWI	Malawi	"0.810"	
ECU	Ecuador	"0.759"	
KHM	Cambodia	"0.594"	
SEN	Senegal	"0.512"	
MLI	Mali	"0.434"	
GTM	Guatemala	"0.663"	
AGO	Angola	"0.581"	
ZMB	Zambia	"0.584"	
ZWE	Zimbabwe	"0.571"	
CUB	Cuba	"0.783"	
RWA	Rwanda	"0.543"	
GRC	Greece	"0.888"	
PRT	Portugal	"0.864"	
TUN	Tunisia	"0.740"	
TCD	Chad	"0.398"	
BEL	Belgium	"0.931"	
GIN	Guinea	"0.592"	
CZE	Czech Republic	"0.900"	
SOM	Somalia	"Null"	
BOL	Bolivia	"0.718"	
HUN	Hungary	"0.854"	
BDI	Burundi	"0.433"	
DOM	Dominican Republic	"0.756"	
BLR	Belarus	"0.823"	
HTI	Haiti	"0.510"	
SWE	Sweden	"0.945"	
BEN	Benin	"0.545"	
AZE	Azerbaijan	"0.756"	
AUT	Austria	"0.922"	
HND	Honduras	"0.634"	
CHE	Switzerland	"0.955"	
TJK	Tajikistan	"0.668"	
ISR	Israel	"0.919"	
SRB	Serbia	"0.806"	
BGR	Bulgaria	"0.816"	
HKG	Hong Kong	"0.949"	
LAO	Laos	"0.613"	
LBY	Libya	"0.480"	
JOR	Jordan	"0.729"	
PRY	Paraguay	"0.728"	
TGO	Togo	"0.515"	
PNG	Papua New Guinea	"0.555"	
SLV	El Salvador	"0.673"	
NIC	Nicaragua	"0.660"	
ERI	Eritrea	"0.459"	
DNK	Denmark	"0.940"	
KGZ	Kyrgyzstan	"0.697"	
SVK	Slovakia	"0.860"	
FIN	Finland	"0.938"	
SLE	Sierra Leone	"0.452"	
ARE	United Arab Emirates	"0.890"	
TKM	Turkmenistan	"0.715"	
CAF	Central African Republic	"0.397"	
SGP	Singapore	"0.938"
NOR	Norway	"0.957"	
BIH	Bosnia and Herzegovina	"0.780"	
GEO	Georgia	"0.812"	
CRI	Costa Rica	"0.810"	
HRV	Croatia	"0.851"	
MDA	Moldova	"0.750"	
NZL	New Zealand	"0.931"	
IRL	Ireland	"0.955"	
COG	"Congo, Republic of the"	"0.574"	
LBN	Lebanon	"0.744"	
PRI	Puerto Rico	"Null"	
LBR	Liberia	"0.480"	
ALB	Albania	"0.795"	
LTU	Lithuania	"0.882"	
URY	Uruguay	"0.817"	
PAN	Panama	"0.815"	
MRT	Mauritania	"0.804"	
MNG	Mongolia	"0.737"	
OMN	Oman	"0.813"	
ARM	Armenia	"0.776"	
JAM	Jamaica	"0.734"	
KWT	Kuwait	"0.806"		
LVA	Latvia	"0.866"	
NAM	Namibia	"0.646"	
MKD	Macedonia	"0.774"	
BWA	Botswana	"0.735"	
SVN	Slovenia	"0.917"	
LSO	Lesotho	"0.527"	
GMB	"Gambia, The"	"0.496"		
GNB	Guinea-Bissau	"0.480"	
GAB	Gabon	"0.703"	
153	Mauritius	"0.546"	
EST	Estonia	"0.892"	
TTO	Trinidad and Tobago	"0.796"	
TLS	Timor-Leste	"0.606"	
CYP	Cyprus	"0.887"	
FJI	Fiji	"0.743"	
QAT	Qatar	"0.848"	
160	Comoros	"0.554"
GUY	Guyana	"0.682"	
DJI	Djibouti	"0.524"	
163	Bahrain	"0.852"	
BTN	Bhutan	"0.654"	
MNE	Montenegro	"0.829"	
GNQ	Equatorial Guinea	"0.592"	
SLB	Solomon Islands	"0.567"	
LUX	Luxembourg	"0.916"	
ESH	Western Sahara	"0.547"	
SUR	Suriname	"0.738"	
173	Malta	"0.895"	
174	Maldives	"0.740"	
BRN	Brunei	"0.838"	
BLZ	Belize	"0.716"	
BHS	"Bahamas, The"	"0.814"	
ISL	Iceland	"0.949"	